batch,model_1,model_2,auc_1,auc_2,z_score,p_value,significant
0,raw,ComBat,0.6447649572649574,0.5699786324786325,-0.599488099504429,0.5488474435606502,No
1,raw,ComBat,0.8638513513513514,0.7243243243243243,-1.5749870148258596,0.11525944186053584,No
2,raw,ComBat,1.0,0.6747474747474748,-1.381510998687982,0.16712189839629055,No
3,raw,ComBat,0.9575221238938053,0.9858407079646018,1.5887596058820042,0.11211467613092241,No
4,raw,ComBat,0.9895424836601308,0.9581699346405229,-1.3983605536190198,0.1620048223910896,No
5,raw,ComBat,0.9485359361135758,0.8411712511091394,-1.9996893012930717,0.04553382416883482,Yes
6,raw,ComBat,0.9659863945578232,0.8940719144800778,-1.5908992731129783,0.11163224618917711,No
7,raw,ComBat,0.7740963855421686,0.009036144578313254,-7.589948100160335,3.200336483098332e-14,Yes
8,raw,ComBat,0.9717191763830315,0.8977921111386753,-2.441832087291387,0.014612941548576232,Yes
9,raw,ComBat,0.9832317073170731,0.809451219512195,-1.4424257995166418,0.1491822900020908,No
0,raw,BART/RF,0.6447649572649574,0.2719017094017094,-2.8204540725403153,0.004795573763670186,Yes
1,raw,BART/RF,0.8638513513513514,0.7347972972972974,-1.5346877124002016,0.12486055555320594,No
2,raw,BART/RF,1.0,0.0,-inf,0.0,Yes
3,raw,BART/RF,0.9575221238938053,0.784875301689461,-4.164509854808141,3.1202215033446965e-05,Yes
4,raw,BART/RF,0.9895424836601308,0.8017429193899781,-2.114579173372249,0.03446583025989839,Yes
5,raw,BART/RF,0.9485359361135758,0.256433007985803,-4.536011769409073,5.7327982290436855e-06,Yes
6,raw,BART/RF,0.9659863945578232,0.5931324910916748,-4.295523434714005,1.7428162424968105e-05,Yes
7,raw,BART/RF,0.7740963855421686,0.0,-7.943949432635983,1.958434583106536e-15,Yes
8,raw,BART/RF,0.9717191763830315,0.546018357727611,-5.626689713603103,1.837007328884798e-08,Yes
9,raw,BART/RF,0.9832317073170731,0.016768292682926844,-75.82846201636242,0.0,Yes
0,raw,Riemannian,0.6447649572649574,0.6730769230769231,0.22439864765060008,0.8224471228790579,No
1,raw,Riemannian,0.8638513513513514,0.40777027027027024,-6.855410523354881,7.1108018215543785e-12,Yes
2,raw,Riemannian,1.0,0.7333333333333334,-5.728509430824235,1.013169214494332e-08,Yes
3,raw,Riemannian,0.9575221238938053,0.5925985518905872,-8.17057983482922,3.0691076807207384e-16,Yes
4,raw,Riemannian,0.9895424836601308,0.37864923747276685,-9.977615472824553,1.9100168185176494e-23,Yes
5,raw,Riemannian,0.9485359361135758,0.19609582963620228,-10.257197333969199,1.0984870250837017e-24,Yes
6,raw,Riemannian,0.9659863945578232,0.24198250728862974,-14.851690541834056,6.7836156467124175e-50,Yes
7,raw,Riemannian,0.7740963855421686,0.7259036144578314,-0.5127783730026326,0.6081063597027141,No
8,raw,Riemannian,0.9717191763830315,0.507318283304391,-7.3953193152069865,1.4106886152898586e-13,Yes
9,raw,Riemannian,0.9832317073170731,0.7317073170731707,-6.412629788950968,1.4303056358383598e-10,Yes
0,ComBat,BART/RF,0.5699786324786325,0.2719017094017094,-1.979995937792368,0.04770398514002837,Yes
1,ComBat,BART/RF,0.7243243243243243,0.7347972972972974,0.10801615508214783,0.9139828772861832,No
2,ComBat,BART/RF,0.6747474747474748,0.0,-2.8659917612533294,0.0041570506423784185,Yes
3,ComBat,BART/RF,0.9858407079646018,0.784875301689461,-4.321894895757723,1.546948804038013e-05,Yes
4,ComBat,BART/RF,0.9581699346405229,0.8017429193899781,-1.7402364277322853,0.08181751164435248,No
5,ComBat,BART/RF,0.8411712511091394,0.256433007985803,-4.369492795911628,1.2453544817468027e-05,Yes
6,ComBat,BART/RF,0.8940719144800778,0.5931324910916748,-3.2601304178413693,0.0011136099484792506,Yes
7,ComBat,BART/RF,0.009036144578313254,0.0,-1.227226626462191,0.21973742441304178,No
8,ComBat,BART/RF,0.8977921111386753,0.546018357727611,-4.534176853514023,5.782856131779574e-06,Yes
9,ComBat,BART/RF,0.809451219512195,0.016768292682926844,-6.847984836892404,7.489750167754342e-12,Yes
0,ComBat,Riemannian,0.5699786324786325,0.6730769230769231,0.8167230978401733,0.4140866883999266,No
1,ComBat,Riemannian,0.7243243243243243,0.40777027027027024,-4.873278241293188,1.0976146225038302e-06,Yes
2,ComBat,Riemannian,0.6747474747474748,0.7333333333333334,0.25516738546887563,0.7985938200643353,No
3,ComBat,Riemannian,0.9858407079646018,0.5925985518905872,-8.531323285408199,1.4468309314599586e-17,Yes
4,ComBat,Riemannian,0.9581699346405229,0.37864923747276685,-8.859705243985871,8.022627480924035e-19,Yes
5,ComBat,Riemannian,0.8411712511091394,0.19609582963620228,-9.28940744099506,1.5514965799006775e-20,Yes
6,ComBat,Riemannian,0.8940719144800778,0.24198250728862974,-11.857667098981691,1.9637040468985337e-32,Yes
7,ComBat,Riemannian,0.009036144578313254,0.7259036144578314,19.592383931826287,1.7958136679552927e-85,Yes
8,ComBat,Riemannian,0.8977921111386753,0.507318283304391,-5.94929128277131,2.6930600873211115e-09,Yes
9,ComBat,Riemannian,0.809451219512195,0.7317073170731707,-0.5368264746987184,0.5913874824150225,No
0,BART/RF,Riemannian,0.2719017094017094,0.6730769230769231,2.192591338595635,0.028336835726994816,Yes
1,BART/RF,Riemannian,0.7347972972972974,0.40777027027027024,-5.149344103585501,2.613989347290141e-07,Yes
2,BART/RF,Riemannian,0.0,0.7333333333333334,15.75340093476665,6.508489365098991e-56,Yes
3,BART/RF,Riemannian,0.784875301689461,0.5925985518905872,-3.8313069397357506,0.00012746437142945697,Yes
4,BART/RF,Riemannian,0.8017429193899781,0.37864923747276685,-6.404511378818375,1.508517041391115e-10,Yes
5,BART/RF,Riemannian,0.256433007985803,0.19609582963620228,-0.5520045467025416,0.5809452381815321,No
6,BART/RF,Riemannian,0.5931324910916748,0.24198250728862974,-3.691050017437041,0.00022333021174337944,Yes
7,BART/RF,Riemannian,0.0,0.7259036144578314,20.448933242509515,6.140332516837903e-93,Yes
8,BART/RF,Riemannian,0.546018357727611,0.507318283304391,-0.3150143307314173,0.7527507730607055,No
9,BART/RF,Riemannian,0.016768292682926844,0.7317073170731707,16.403122100280452,1.8165743937238946e-60,Yes
